Soup
Duck Dishes
Chicken Dishes
Beef Dishes
Pork Dishes
Seafood Dishes
Curry Dishes (Available to change chips to Egg Fried Rice or Boiled Rice)
Lamb Dishes
Egg Foo Yung Dishes
Chop Suey Dishes
Rice Dishes
Chow Mein Dishes
Vegetarian Dishes (v)
Special Meal Deals
Desserts
Sauce
RECOMMENDED SET DINNERS
1.Chicken & Sweetcorn Soup ¡ê2.50
2.Chicken & Mushroom Soup ¡ê2.50
3.Hot & Sour Soup (v) ¡ê2.50
4.Won Ton Soup ¡ê3.00
5.Vegetable & Tofu Soup (v) ¡ê2.50
6.Spring Roll (2) ¡ê3.00
7.Mini Spring Rolls (8) ¡ê2.00
8.King Prawn Roll ¡ê4.00
9.Sesame Prawn Toast ¡ê4.00
10.Seaweed ¡ê4.00
11.Cripsy Chicken Wings (8) ¡ê4.50
"12.Chicken Wings with Chilli, Salt & Pepper (8) ¡ê5.00"
13. Roast Spare Ribs ¡ê5.00
"14. Spare Ribs with Chilli, Salt & Pepper ¡ê5.00"
15. Spare Ribs in Barbecue Sauce ¡ê5.00
16. Sweet & Sour Spare Ribs ¡ê5.00
17.Dumpling (8) ¡ê5.00
"18.Special Platter (Sesame Prawn Toast, Spare Ribs, Mini Spring Rolls & Chicken Wings, Sweet & Sour Sauce) ¡ê6.50"
"19.Crispy Aromatic Duck (Served with Pancakes, Spring Onions, Cucumber & Hoi Sin Sauce) Quarter ¡ê7.00 Half ¡ê13.00 Whole ¡ê24.00"
20.Prawn Crackers (v) ¡ê1.50
21.Duck with Plum Sauce ¡ê5. 00
22.Duck with Orange Sauce ¡ê5. 00
23.Duck with Ginger & Spring Onions ¡ê5. 00
24.Duck with Green Pepper in Black Bean Sauce ¡ê5. 00
25.Duck with Pineapple ¡ê5. 00
26.Duck with Mushrooms ¡ê5. 00
27.Duck with Beansprouts ¡ê5. 00
28.Duck with Black Pepper & Honey Sauce ¡ê5. 00
29.Crispy Shredded Chicken (Spicy Hot) ¡ê4. 50
30.Chicken with Ginger & Spring Onions ¡ê4. 50
31.Chicken with Green Pepper in Black Bean Sauce ¡ê4. 50
32.Crispy Shredded Chicken in Peking Sauce (Spicy Hot) ¡ê4. 50
33.Szechuan Chicken (Spicy Hot) ¡ê4. 50
34.Chicken with Mixed Vegetables ¡ê4. 50
35.Chicken with Pineapple ¡ê4. 50
36 Chicken with Bamboo Shoots & Cashew Nuts ¡ê4. 50
37.Kung Po Chicken ¡ê4. 50
38.Chicken with Mushrooms ¡ê4. 50
39.Chicken with Oyster Sauce ¡ê4. 50
40.Chicken with Tomatoes ¡ê4. 50
41.Chicken with Bamboo Shoots & Water Chestnuts ¡ê4. 50
42.Sweet & Sour Chicken Cantonese Style ¡ê4. 50
43.Lemon Chicken ¡ê4. 50
44.Chicken Balls (Served with Sweet & Sour Sauce or Curry Sauce) ¡ê4. 50
45.Chicken with Beansprouts ¡ê4. 50
"46.Chicken with Chilli, Salt & Pepper ¡ê4. 50"
47.Chicken with Green Pepper in Satay Sauce ¡ê4.50
48.Chicken with Broccoli in Oyster Sauce ¡ê4. 50
49.Chicken on Skewer with Satay Sauce (4) ¡ê4. 50
50.Beef with Ginger & Spring Onions ¡ê4. 50
51.Beef with Black Pepper & Honey Sauce ¡ê4.50
52.Beef with Mushrooms ¡ê4.50
53.Beef with Green Pepper in Black Bean Sauce ¡ê4.50
54.Beef with Mixed Vegetables ¡ê4. 50
55.Beef with Chinese Mushrooms & Bamboo Shoots ¡ê4.50
56.Szechuan Beef (Spicy Hot) ¡ê4.50
57.Beef with Oyster Sauce ¡ê4.50
58.Crispy Shredded Beef in Chilli Sauce ¡ê4.50
59. Beef with Tomatoes ¡ê4.50
60.Beef with Green Pepper in Satay Sauce ¡ê4.50
61.Roast Pork with Mixed Vegetables ¡ê4. 50
62.Roast Pork with Mushrooms ¡ê4.50
63.Roast Pork with Green Pepper in Black Bean Sauce ¡ê4.50
64.Roast Pork with Beansprouts in Barbecued Sauce ¡ê4. 50
65.Roast Pork with Ginger & Spring Onions ¡ê4. 50
66.Roast Pork with Black Pepper & Honey Sauce ¡ê4.50
67.Roast Pork with Green Pepper in Satay Sauce ¡ê4.50
68.Roast Pork with Oyster Sauce ¡ê4.50
69.Roast Pork with Chilli Bean Sauce ¡ê4.50
70.Sweet & Sour Roast Pork Cantonese Style ¡ê4. 50
71.Pork Balls (Served with Sweet & Sour Sauce or Curry Sauce) ¡ê4. 50
72.Roast Pork with Cashew Nuts ¡ê4. 50
73.King Prawn with Ginger & Spring Onions ¡ê6.00
74.King Prawn with Green Pepper in Black Bean Sauce ¡ê6.00
75.King Prawn with Mushrooms ¡ê6.00
76.King Prawn with Satay Sauce ¡ê6.00
"77.King Prawn with Chilli, Salt & Pepper ¡ê6.00"
78.King Prawn with Oyster Sauce ¡ê6.00
79.King Prawn with Mixed Vegetables ¡ê6.00
80.Squid with Ginger & Spring Onions ¡ê6.00
81.Squid with Green Pepper in Black Bean Sauce ¡ê6.00
"82.Squid with Chilli, Salt & Pepper ¡ê6.00"
83.Sweet & Sour Roast King Prawn Cantonese Style ¡ê6.00
84.Kung Po King Prawn (Spicy Hot)
85.King Prawn Balls (Served with Sweet & Sour Sauce or Curry Sauce)
